DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/04/2012;07:57:01;56;6644.75;6638.13;6635.05;6644.75
05/04/2012;07:58:01;50;6638.2;6635.97;6634.46;6638.26
05/04/2012;07:59:01;47;6636.09;6645.24;6636.09;6645.24
05/04/2012;08:00:01;50;6644.98;6646.34;6642.17;6646.42
05/04/2012;08:01:01;53;6646.56;6646.08;6644.13;6649.53
05/04/2012;08:02:01;48;6646.04;6645.9;6644.68;6648
05/04/2012;08:03:01;45;6646.3;6649.68;6645.86;6650.5
05/04/2012;08:04:01;45;6649.65;6651.32;6649.37;6652.19
05/04/2012;08:05:01;48;6651.3;6655.82;6651.24;6655.82
05/04/2012;08:06:01;50;6655.81;6656.89;6655.81;6659.76
05/04/2012;08:07:01;43;6656.87;6653.71;6652.35;6656.87
05/04/2012;08:08:01;41;6653.66;6654.43;6651.19;6654.45
05/04/2012;08:09:01;44;6654.44;6652.38;6652.38;6655.5
05/04/2012;08:10:01;47;6652.37;6651.95;6651.24;6653.37
05/04/2012;08:11:01;38;6651.84;6655.03;6650.66;6655.03
05/04/2012;08:12:01;37;6655.27;6658.66;6655.27;6658.66
05/04/2012;08:13:01;46;6658.76;6663.72;6658.76;6665.12
05/04/2012;08:14:01;37;6663.7;6657.87;6657.78;6663.7
05/04/2012;08:15:01;48;6657.85;6657.87;6656.83;6657.91
05/04/2012;08:16:01;41;6657.85;6658.27;6657.09;6658.42
05/04/2012;08:17:01;42;6658.32;6661.02;6658.27;6662.05
05/04/2012;08:18:01;43;6660.93;6656.42;6653.84;6661.25
05/04/2012;08:19:01;46;6656.21;6649.84;6649;6656.21
05/04/2012;08:20:01;51;6649.66;6644.84;6643.81;6649.85
05/04/2012;08:21:01;48;6644.64;6642;6642;6645.52
05/04/2012;08:22:01;45;6643.2;6640.97;6640.86;6643.21
05/04/2012;08:23:01;55;6640.98;6640.13;6636.48;6640.98
05/04/2012;08:24:01;52;6639.44;6636.26;6634.9;6642.29
05/04/2012;08:25:01;51;6636.66;6641.59;6636.66;6641.7
05/04/2012;08:26:01;46;6641.7;6646.07;6641.35;6646.07
05/04/2012;08:27:01;41;6646.09;6647.47;6645.89;6647.47
05/04/2012;08:28:01;49;6647.74;6648.58;6647.74;6650.49
05/04/2012;08:29:01;50;6648.69;6642.31;6640.53;6648.69
05/04/2012;08:30:01;42;6642.2;6641.39;6639.33;6642.98
05/04/2012;08:31:01;46;6641.41;6638.86;6638.86;6642.99
05/04/2012;08:32:01;42;6638.68;6637.42;6635.57;6638.68
05/04/2012;08:33:01;42;6637.47;6644.11;6637.47;6644.41
05/04/2012;08:34:01;39;6643.69;6645.23;6643.68;6646.66
05/04/2012;08:35:01;46;6645.14;6638.17;6636.83;6645.14
05/04/2012;08:36:01;42;6638.22;6640.22;6638.22;6640.42
05/04/2012;08:37:01;41;6640.15;6638.74;6638.74;6643.62
05/04/2012;08:38:01;36;6638.73;6641.52;6638.68;6641.52
05/04/2012;08:39:01;39;6641.63;6641.1;6640.82;6641.87
05/04/2012;08:40:01;40;6640.94;6639.74;6638.89;6640.94
05/04/2012;08:41:01;48;6639.7;6630.83;6630.83;6639.87
05/04/2012;08:42:01;59;6628.84;6617.26;6614.76;6628.84
05/04/2012;08:43:01;51;6617.56;6622.45;6617.25;6622.45
05/04/2012;08:44:01;47;6622.46;6622.92;6622.36;6624.41
05/04/2012;08:45:01;51;6622.74;6617.32;6617.3;6623.3
05/04/2012;08:46:01;47;6617.11;6624;6616.33;6624
05/04/2012;08:47:01;41;6624.22;6628.47;6623.66;6628.8
05/04/2012;08:48:01;45;6628.35;6629.55;6628.2;6631.1
05/04/2012;08:49:01;47;6628.98;6628.77;6628.2;6629.24
05/04/2012;08:50:01;43;6628.54;6627.43;6627.43;6629.15
05/04/2012;08:51:01;45;6627.11;6626.64;6625.8;6627.16
05/04/2012;08:52:01;46;6626.6;6631.12;6625.78;6631.14
05/04/2012;08:53:01;45;6631.16;6631.4;6631;6632.78
05/04/2012;08:54:01;37;6631.32;6629.44;6629.44;6632.18
05/04/2012;08:55:01;36;6629.46;6629.7;6628.87;6631.49
05/04/2012;08:56:01;45;6629.55;6627.39;6626.87;6629.83
05/04/2012;08:57:01;38;6627.48;6628.34;6627.48;6629.25
05/04/2012;08:58:01;39;6628.35;6629.65;6627.74;6629.82
05/04/2012;08:59:01;39;6629.74;6624.66;6624.66;6630.1
05/04/2012;09:00:01;51;6622.67;6631.29;6622.47;6631.29
05/04/2012;09:01:01;42;6630.52;6630.54;6629.29;6631.62
05/04/2012;09:02:01;45;6630.36;6627.85;6627.21;6631.32
05/04/2012;09:03:01;39;6627.02;6627.39;6626.26;6627.76
05/04/2012;09:04:01;35;6627.9;6624.53;6624.44;6627.92
05/04/2012;09:05:01;46;6624.45;6621.25;6619.74;6624.45
05/04/2012;09:06:01;49;6621.23;6617.44;6617.24;6621.64
05/04/2012;09:07:01;41;6617.37;6619.89;6617.37;6620.06
05/04/2012;09:08:01;44;6619.87;6621.33;6619.14;6621.33
05/04/2012;09:09:01;47;6621.18;6625.49;6621.13;6626.07
05/04/2012;09:10:01;45;6625.38;6627;6625.06;6627.06
05/04/2012;09:11:01;48;6626.99;6628.15;6626.95;6628.15
05/04/2012;09:12:01;38;6628.1;6629.68;6627.4;6629.68
05/04/2012;09:13:01;41;6630.7;6632.46;6630.03;6632.59
05/04/2012;09:14:01;44;6632.76;6630;6629.76;6632.76
05/04/2012;09:15:01;40;6630.06;6628.65;6628.55;6630.06
05/04/2012;09:16:01;40;6628.6;6627.3;6625.57;6628.6
05/04/2012;09:17:01;38;6627.33;6630.6;6627.33;6630.6
05/04/2012;09:18:01;38;6630.74;6631.35;6630.73;6632.68
05/04/2012;09:19:01;50;6631.1;6636.45;6631.02;6636.61
